genres,year,playtime_forever
"['Action', 'Adventure', 'Indie']",2007,93028
['Action'],2007,634543
['RPG'],2009,10157
"['Casual', 'Strategy']",2009,4829
"['Indie', 'Simulation']",2008,1745
['Racing'],2009,2090960
"['Action', 'Indie']",2009,24234
"['Casual', 'Indie']",2009,13419
['Indie'],2009,318
"['Simulation', 'Strategy']",2009,6806
['Casual'],2009,13931
['Casual'],2009,28284
['Casual'],2009,27
['RPG'],2009,156790
['Strategy'],2009,2215
"['Action', 'Adventure', 'RPG']",2009,82391
"['Action', 'Indie']",2009,126081
"['RPG', 'Strategy']",2008,246298
"['Casual', 'Simulation']",2009,3246
['Racing'],2009,2716
"['RPG', 'Strategy']",2005,12911
"['RPG', 'Strategy']",2002,33762
"['Indie', 'Simulation', 'Strategy']",2009,4790
"['Action', 'Simulation']",2009,130784
"['Action', 'Adventure']",2009,743325
['Strategy'],2004,36738
['RPG'],2007,4627234
['RPG'],2002,1522457
['Adventure'],2007,1849
['Simulation'],1999,26
['Simulation'],1998,136
['Strategy'],2008,8906
['Action'],2009,106866
['Adventure'],2007,1735
['Adventure'],2006,850
['Adventure'],2008,2564
['Adventure'],2007,2211
"['Casual', 'Indie']",2008,886
"['Simulation', 'Sports']",2009,5146
['Adventure'],2009,46963
['Action'],2009,248989
"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",2007,22090
['Adventure'],1992,16975
['Action'],2003,613
['Action'],2005,4942186
['Adventure'],1989,3597
"['Action', 'Adventure']",2008,29407
['Adventure'],2009,127377
['Strategy'],2008,452
"['Action', 'Racing']",2009,2240
['Adventure'],2009,1173
['Sports'],2006,9108
['Adventure'],2006,1250
['Action'],2007,38095
['Adventure'],2006,3689
"['Action', 'Casual']",2008,847
"['Simulation', 'Strategy']",2009,19973
['Casual'],2009,1722
['Action'],2008,15133
"['Action', 'Adventure']",2009,23122
['Action'],2009,2912
"['Action', 'Indie']",2009,25087
"['Adventure', 'RPG']",2003,2786807
"['Indie', 'Casual']",2009,76517
['RPG'],1998,378183
['Strategy'],2001,85418
['Action'],1999,9430
['Adventure'],2009,29291
['Casual'],2009,11166
['Casual'],2009,809
"['Adventure', 'Indie']",2009,12482
['Action'],2005,133291
"['Action', 'Racing']",2009,45231
['Strategy'],2009,1601
['Simulation'],2009,23528
['Simulation'],2009,18975
"['Action', 'Adventure']",2009,75368
"['Adventure', 'Casual', 'Indie']",2009,9523
"['Adventure', 'Casual']",2009,1634
['Adventure'],2009,24947
['Action'],2009,1188
['Simulation'],2009,373
['RPG'],2009,186514
['Casual'],2009,2763
"['Adventure', 'Indie']",2009,148091
['Action'],2007,163657
['Racing'],2009,196245
['RPG'],2009,1737573
['Strategy'],2009,739310
['Strategy'],2009,973
['Action'],2009,12363
"['RPG', 'Strategy']",2009,70383
['Adventure'],2009,9790
['Strategy'],2009,3602
['Adventure'],2009,27253
['Strategy'],2009,47199
"['Action', 'Indie']",2009,46729
"['Action', 'RPG']",2009,79825
['Strategy'],2005,2183
['Strategy'],2003,1816
"['Action', 'Indie']",2009,414125
['Adventure'],2009,2342
['RPG'],2009,2013540
"['Action', 'RPG', 'Indie']",2009,3404
"['Indie', 'Casual']",2009,2447
['Strategy'],2009,3914
['Action'],2009,5043684
['Adventure'],2009,557974
['RPG'],2007,395188
['RPG'],2008,295424
['Strategy'],2007,523849
"['Indie', 'Casual']",2008,8569
['Strategy'],2009,286386
"['Indie', 'Simulation', 'Strategy']",2009,300144
['Simulation'],2009,191750
"['Action', 'Adventure', 'RPG']",2005,45062
['Action'],2009,118845
['Action'],2009,699130
['RPG'],2009,5361044
['Simulation'],2007,974
['Simulation'],2008,166
['Simulation'],2009,297
"['Casual', 'Simulation']",2009,373
['Casual'],2009,784
"['Action', 'Adventure']",2008,252319
"['Action', 'Indie', 'RPG']",2010,19230
['Simulation'],2009,9967
"['Action', 'Free to Play', 'Indie']",2010,503419
['Casual'],2008,4731
['Casual'],2010,110
['Casual'],2009,364
['Casual'],2007,2229
['Casual'],2009,3904
['Casual'],2010,880
"['Strategy', 'Casual']",2010,920
['Strategy'],2010,25291
['Adventure'],2010,79165
['Sports'],2010,140
"['Action', 'Indie', 'Racing']",2010,5132
['Action'],2010,6238
['Casual'],2007,1239
"['Action', 'Indie']",2001,58342
"['Action', 'RPG']",2010,19858255
['Action'],2010,27
"['Action', 'Indie']",2010,44388
['Action'],2010,129018
['Action'],2010,3601663
"['Action', 'Adventure']",2010,1452
['Indie'],2010,46902
"['Action', 'Casual', 'Indie']",2010,482544
"['Simulation', 'Strategy']",2010,6619
"['Adventure', 'Indie']",2010,22670
['Action'],2003,2255
['Action'],2001,1395
"['Casual', 'Indie']",2010,732
['Casual'],2006,236
"['Casual', 'Indie']",2008,490
['Casual'],2008,22
['Casual'],2009,896
['Casual'],2009,821
['Casual'],2007,215
['Casual'],2009,1062
['Casual'],2010,102
['Casual'],2008,364
['Casual'],2007,48
"['Action', 'Adventure', 'Casual']",2010,7
"['Action', 'Indie']",2008,27039
"['Action', 'Adventure']",2010,2320
['Indie'],2010,24386
"['Action', 'Indie']",2010,17769
['Casual'],2010,21965
"['Casual', 'Indie']",2010,319
"['Action', 'Adventure', 'Casual', 'RPG']",2010,264634
"['Action', 'RPG']",2010,231952
['Action'],2010,42856
"['Simulation', 'Strategy']",2003,1156674
"['Strategy', 'RPG']",2010,71124
"['Casual', 'Indie']",2010,7611
"['Action', 'Casual', 'Indie']",2010,4172
['RPG'],2008,406
['Action'],2010,92839
"['Simulation', 'Strategy']",2010,227683
['Strategy'],2010,12193
['Action'],2011,2525712
"['RPG', 'Casual']",2010,125986
['Action'],2010,7120
['Strategy'],2010,13723
['Simulation'],2010,136516
['Strategy'],2010,822037
"['Indie', 'Simulation', 'Strategy']",2010,59017
"['Action', 'Simulation', 'Strategy']",2010,27131
['Strategy'],2010,989420
['Simulation'],2010,2968
['Strategy'],2002,45958
['Adventure'],2010,33425
['Casual'],2010,59829
"['Action', 'Indie']",2010,205579
"['Action', 'Adventure', 'Indie']",2010,1418111
"['RPG', 'Indie']",2010,524202
"['Action', 'Casual', 'Indie']",2010,3314
['Simulation'],2010,56642
"['Indie', 'Simulation']",2010,31918
"['Casual', 'Indie']",2010,278551
['Strategy'],2010,63524
"['RPG', 'Strategy']",2010,166644
['Strategy'],2010,44085656
"['Action', 'Indie']",2002,36321
"['Indie', 'Strategy']",2010,62397
"['Action', 'Adventure']",2010,33684
['Action'],2010,31962
"['Action', 'Adventure']",2010,1614194
"['Simulation', 'Strategy']",1999,13902
['Strategy'],2010,21507
"['Simulation', 'Strategy']",2000,1001
"['Adventure', 'Casual', 'Simulation']",2010,12465
"['Adventure', 'Casual', 'Indie', 'Simulation']",2010,23091
['Action'],2010,425488
"['Indie', 'RPG', 'Strategy']",2010,41039
"['Action', 'Adventure']",2010,125406
"['Adventure', 'Casual', 'Indie']",2010,7444
"['Action', 'RPG']",2010,27050491
"['Action', 'Casual', 'Indie']",2010,10900
"['Adventure', 'Indie']",2010,8361
"['Indie', 'Racing']",2010,9539
"['Action', 'Indie', 'RPG']",2010,57543
"['Action', 'Indie']",2010,84487
"['Action', 'Adventure', 'Indie']",2010,57395
['Action'],2010,416840
"['Action', 'Casual']",2010,30989
"['RPG', 'Simulation', 'Strategy']",2010,9660
"['Action', 'Casual', 'Indie']",2010,71489
['Casual'],2010,911
"['Adventure', 'Indie']",2010,1373
['Action'],2010,4146
['Casual'],2009,521
['Adventure'],2010,829
"['Casual', 'Indie']",2007,3668
"['Strategy', 'Indie']",2010,2351
['Action'],2010,7499513
"['Action', 'Adventure', 'Strategy']",2010,61046
"['Action', 'Adventure', 'Strategy']",2010,104033
"['Casual', 'Indie']",2010,23118
['Adventure'],2010,100013
['Action'],2002,301762
['Action'],2005,2897727
['Action'],2003,805296
"['Action', 'Indie']",2011,232
"['Action', 'Indie']",2011,43758
"['Action', 'Indie', 'Strategy']",2011,15550
['Action'],2011,631458
"['Adventure', 'Casual']",2011,1319
['Adventure'],2011,1219
"['Action', 'Strategy', 'Indie', 'Sports']",2011,491657
"['Action', 'Adventure', 'Casual']",2011,7557
['Simulation'],2009,3965996
"['Casual', 'Indie']",2011,1696
['Casual'],2011,509
"['Action', 'Casual', 'Indie']",2011,2985
"['Adventure', 'Casual']",2011,5291
['RPG'],2011,459822
['Casual'],2011,2168
"['RPG', 'Strategy']",2011,91191
['RPG'],2011,10839
['Strategy'],2011,49337
"['Action', 'Indie']",2011,320278
['Action'],2011,583779
"['Casual', 'Indie', 'Simulation', 'Strategy']",2011,30642
['Indie'],2011,729
"['Free to Play', 'Massively Multiplayer', 'RPG']",2013,4366483
"['Indie', 'Casual']",2011,2042
['Action'],2011,1561
['Racing'],2011,39
"['Action', 'Indie', 'Strategy']",2011,167666
['Strategy'],2010,10559
['Strategy'],2011,161039
"['Action', 'Indie']",2011,1051124
['Strategy'],2011,31048
"['Action', 'Adventure']",2011,24962650
"['Action', 'Casual', 'Indie', 'Strategy']",2011,1345605
['Strategy'],2011,145064
"['Indie', 'Strategy']",2011,392457
"['Action', 'Adventure']",2011,34562
"['Adventure', 'Casual', 'Indie']",2011,22977
['Adventure'],2009,8094
['Adventure'],2005,19020
"['Action', 'RPG']",2011,288899
['Action'],2011,652803
"['Action', 'Free to Play']",2011,200170
"['Free to Play', 'Massively Multiplayer', 'RPG']",2009,1195460
['Strategy'],2011,11748
['Indie'],2011,920
['Strategy'],2011,811963
"['Indie', 'Casual']",2011,7093
"['Indie', 'Casual']",2011,297221
['Strategy'],2011,582
['Strategy'],2011,747
['Strategy'],2011,145
['Action'],2011,720843
"['Action', 'RPG']",2011,15834
['Racing'],2011,33
"['Adventure', 'Casual']",2011,26969
"['Action', 'Adventure', 'Indie']",2011,3158
['Simulation'],2011,69026
"['Indie', 'Casual']",2011,18431
"['Adventure', 'Indie', 'RPG']",2011,38179
['Adventure'],2010,2796
"['Action', 'Simulation', 'Strategy']",2011,179257
"['Simulation', 'Strategy']",2011,2663633
['Adventure'],2011,3975
['Adventure'],2010,2190
"['Indie', 'Casual']",2011,1680
"['Action', 'Indie']",2011,78290
['Indie'],2011,12904
"['Action', 'Indie', 'RPG', 'Strategy']",2011,1026125
"['Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'Strategy']",2011,281756
"['Action', 'Adventure', 'RPG']",2011,28153
['Action'],2011,2068297
['Strategy'],2011,64787
"['Action', 'Indie']",2012,104154
"['Action', 'Indie']",2011,4665
"['Action', 'Indie', 'Racing', 'Strategy']",2011,225487
"['Action', 'Massively Multiplayer', 'Simulation']",2011,7034051
"['Action', 'Adventure']",2011,78702
"['RPG', 'Simulation', 'Strategy']",2011,25796
"['Action', 'Indie']",2011,1416
['Adventure'],2010,8178
"['Action', 'Indie']",2011,34995
"['RPG', 'Strategy']",2011,1001729
['Strategy'],2011,1728337
"['Action', 'Adventure', 'Indie', 'RPG']",2011,13771476
"['Racing', 'Simulation']",2011,28636
['Strategy'],2007,365506
"['Action', 'Simulation']",2011,47859
"['Action', 'Adventure']",2011,320833
['Strategy'],2011,19893
"['Casual', 'Simulation', 'Strategy']",2011,14957
"['Adventure', 'Casual', 'RPG']",2011,216463
"['Action', 'Indie', 'RPG']",2011,14216
"['Casual', 'Indie', 'Strategy']",2011,19549
"['Simulation', 'Strategy']",2011,18876
['RPG'],2011,3971
"['Action', 'Indie']",2011,30719
['Action'],2011,11589
['Action'],2011,680276
['Adventure'],2011,1868
"['Adventure', 'Strategy']",2011,2045047
"['Indie', 'Casual']",2011,10961
"['Indie', 'Racing']",2011,39765
['Strategy'],2010,908
['Strategy'],2011,299493
"['Action', 'Free to Play', 'Massively Multiplayer']",2011,6683591
"['Adventure', 'Indie']",2012,10645
['Racing'],2011,12886
['Action'],2011,75600
"['Action', 'Simulation']",2011,303787
"['Action', 'Adventure', 'Indie']",2013,1391907
"['Action', 'Indie']",2011,7747
"['Action', 'Adventure', 'RPG']",2011,904899
"['Indie', 'Strategy']",2012,31339
"['RPG', 'Strategy']",2012,47346
"['Action', 'Indie']",2005,186438
"['Action', 'Indie', 'RPG']",2012,45066
"['Free to Play', 'Massively Multiplayer', 'RPG']",2010,3048254
"['RPG', 'Simulation', 'Strategy']",2012,258507
"['Action', 'Indie']",2012,3820
"['Action', 'Casual', 'Indie']",2012,35990
"['Casual', 'Indie', 'Racing']",2012,25359
"['Action', 'Casual', 'Indie']",2012,46724
"['RPG', 'Simulation', 'Strategy']",2012,3558453
"['Action', 'Adventure']",2012,962297
['Action'],2011,75183
"['RPG', 'Simulation']",2012,5223
"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']",2012,8505496
"['Adventure', 'Casual']",2012,8496
"['Adventure', 'Indie']",2012,9857
"['Action', 'Adventure']",2012,148770
['Action'],2012,4643
"['Action', 'Indie', 'Strategy']",2012,70604
"['Casual', 'Indie', 'Strategy']",2012,41196
"['Action', 'Indie', 'Casual']",2012,3615
"['Adventure', 'Indie']",2012,164202
"['Casual', 'Indie']",2012,5710
"['Action', 'Adventure', 'Indie']",2012,42413
['Strategy'],2012,8039
['Simulation'],2012,5224
"['Casual', 'Indie', 'Strategy']",2012,254
"['Indie', 'Strategy']",2012,86258
"['Adventure', 'Casual']",2012,3106
"['Action', 'Indie', 'Casual']",2012,456
"['Action', 'Adventure', 'RPG']",2012,49017
"['Adventure', 'Indie', 'Strategy']",2012,67134
"['Action', 'Indie']",2012,1205
"['Action', 'Adventure', 'Indie']",2012,22392
['Adventure'],2012,8025
"['Action', 'Indie']",2012,1445
"['Adventure', 'Casual']",2012,3147
"['Adventure', 'Casual']",2012,3650
"['Casual', 'Indie']",2012,1060
['Racing'],2012,51481
"['Indie', 'Strategy']",2012,19289
"['Action', 'RPG', 'Strategy']",2012,14284
"['Casual', 'Indie', 'RPG']",2012,57946
"['Indie', 'Simulation', 'Strategy', 'Early Access']",2014,5995
['Action'],2012,367
['RPG'],2012,238789
['Action'],2012,124770
['Indie'],2012,36342
"['Action', 'Casual', 'Simulation', 'Strategy']",2012,159842
"['Casual', 'Indie']",2012,6863
['Action'],2012,87526
"['Action', 'Indie', 'RPG']",2012,3787
"['Indie', 'Simulation', 'Strategy']",2012,11658
"['Casual', 'Indie', 'Strategy']",2012,81210
"['Action', 'Adventure', 'RPG']",2012,148290
['Action'],2012,2052449
"['Free to Play', 'Massively Multiplayer', 'RPG']",2012,1532326
"['Indie', 'Casual']",2012,20162
['Indie'],2012,138438
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",2012,80893
"['Action', 'Adventure']",2012,416381
"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",2012,1816342
"['Indie', 'RPG']",2012,75334
"['Adventure', 'Indie']",2012,26547
"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",2012,420463
['Action'],2012,576222
"['Casual', 'Strategy']",2012,295548
"['Action', 'Free to Play']",2012,2572335
['RPG'],2002,45454
"['Action', 'Indie', 'Casual']",2012,29054
['Action'],2012,1096
['Adventure'],2012,65075
"['Action', 'Indie', 'Strategy']",2012,88092
['Action'],2012,17216
['Action'],2012,28626
"['Action', 'Racing']",2012,43246
"['Indie', 'Strategy']",2012,321538
"['Action', 'Strategy']",2012,71079
"['Action', 'Indie', 'Simulation', 'Strategy']",2012,89922
['Action'],2012,121872344
['RPG'],2005,2384957
"['Action', 'Indie', 'RPG']",2010,9752
"['Indie', 'Casual']",2012,1130
['Indie'],2012,40840
"['Action', 'Adventure']",2012,5061747
"['Adventure', 'Indie', 'RPG']",2011,240125
"['Action', 'Indie']",2012,80735
"['Action', 'Indie', 'Casual']",2012,8477
['Action'],2012,142884
['Adventure'],2012,69974
['Action'],2012,11128
"['Action', 'Strategy']",2012,108458
['Animation &amp; Modeling'],2012,11370
"['Action', 'Indie', 'Strategy']",2012,317799
"['Action', 'Indie']",2012,11491
"['Adventure', 'Indie']",2012,57265
['Action'],2012,496042
"['Casual', 'Simulation']",2012,184091
"['Adventure', 'Indie']",2012,38664
"['Indie', 'Strategy']",2012,44170
"['Action', 'Indie']",2012,858605
"['Action', 'Indie']",2012,85226
"['Strategy', 'Casual']",2012,109863
"['Action', 'Indie']",2012,2653623
"['Free to Play', 'Massively Multiplayer', 'RPG']",2012,60186
"['Action', 'Adventure', 'Indie', 'Simulation']",2012,2904352
['Action'],2006,45289
['RPG'],2004,9654
['RPG'],2012,232497
"['Action', 'Adventure', 'Indie']",2003,2039081
['Racing'],2012,17354
"['Adventure', 'Indie']",2012,75925
"['Indie', 'Strategy']",2012,11857
"['Action', 'Indie']",2012,12283
"['Action', 'Adventure', 'Indie']",2012,18778
"['Action', 'Indie', 'Simulation']",2012,42805
['Adventure'],2012,387
['Action'],2012,2746414
"['RPG', 'Strategy']",2004,22867
"['Action', 'Adventure', 'Indie']",2012,43089
['Action'],2012,17705
"['Action', 'Indie']",2012,106103
"['Racing', 'Simulation', 'Sports']",2005,5007
"['Adventure', 'Indie']",2012,8592
"['Adventure', 'Indie']",2012,22055
"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Simulation']",2012,365608
"['Strategy', 'Indie', 'Casual']",2012,88479
"['Action', 'Adventure']",2003,12294
"['Action', 'Adventure']",2012,21626
"['Action', 'Adventure']",2001,11551
"['Action', 'Simulation', 'Strategy']",2012,7692
"['Adventure', 'Indie']",2012,18059
['Adventure'],2012,4737
['RPG'],2012,185534
"['Adventure', 'Casual']",2013,1084
"['Action', 'Indie']",2013,9102
"['Action', 'Strategy', 'Casual']",2013,63944
"['Action', 'Indie', 'Simulation']",2013,154830
['Adventure'],2013,103839
"['Action', 'Simulation']",2013,141807
"['Action', 'Adventure']",2013,768426
"['Action', 'Indie']",2013,13005
"['Casual', 'Indie']",2013,302
['Simulation'],2013,274283
"['Action', 'Indie']",2013,98991
"['Action', 'Adventure', 'Indie', 'Strategy']",2013,12763
"['Casual', 'Indie', 'Strategy']",2013,2246
"['Simulation', 'Strategy']",2013,38760
['Action'],2013,1494
"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",2013,40969
"['Adventure', 'Indie', 'Simulation']",2013,16793
"['Action', 'Adventure', 'Indie']",2013,1555
"['Action', 'Indie']",2013,28296
"['Action', 'Racing']",2013,998765
"['Action', 'Indie']",1997,50627
"['Action', 'Adventure']",2013,1423179
"['Indie', 'Casual']",2013,5279
"['Action', 'Adventure', 'Indie']",2013,55561
"['Adventure', 'Indie', 'RPG']",2013,193043
"['Action', 'Adventure']",2013,8086
"['Indie', 'Simulation', 'Sports', 'Strategy']",2013,26663
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",2013,65040
"['Indie', 'Strategy']",2013,58935
"['Adventure', 'Indie']",2013,36237
"['Action', 'Indie', 'Simulation']",2013,2073197
['Massively Multiplayer'],2013,80
['Action'],2013,268402
"['Indie', 'Strategy']",2013,143684
"['Action', 'RPG']",2013,112458
"['Casual', 'Sports']",2013,1721990
"['Indie', 'Strategy']",2013,284030
"['Action', 'Indie', 'Strategy']",2013,2372278
"['Action', 'Adventure', 'Indie']",2013,13234
"['Education', 'Software Training', 'Utilities', 'Web Publishing']",2017,9382
"['Indie', 'Simulation', 'Strategy']",2013,520083
"['Action', 'Adventure', 'Casual']",1983,3323
"['Action', 'Indie']",2013,7654
"['Action', 'Adventure']",2013,286381
"['Action', 'Adventure']",2013,299876
['Casual'],2013,4212
"['Casual', 'Simulation']",2013,12266
"['Indie', 'RPG']",2013,49060
"['Casual', 'Indie', 'Simulation', 'Strategy']",2013,19803
"['Casual', 'Indie', 'RPG', 'Strategy']",2013,132298
"['Indie', 'RPG']",2013,364233
"['Action', 'Adventure', 'RPG']",2013,17272
['Strategy'],2013,6418805
['Action'],2013,1492257
"['Action', 'Indie']",2013,74679
"['Action', 'Free to Play']",2013,1392853
"['Action', 'RPG']",2013,38071
"['Racing', 'Sports']",2013,73815
['Action'],1997,133223
['RPG'],2013,1420124
"['Adventure', 'Casual', 'Indie']",2013,40404
"['Action', 'Indie']",2013,11820
['Action'],2013,16650
['Adventure'],2013,18062
"['Adventure', 'Indie']",2013,36959
"['Adventure', 'Indie', 'RPG', 'Strategy']",2013,783899
"['Action', 'Strategy']",2013,11663
"['Action', 'Indie', 'Strategy']",2013,104536
"['Adventure', 'Indie', 'RPG']",2013,2751
"['Indie', 'Strategy']",2013,67649
"['Action', 'Adventure']",2013,150722
['Action'],2013,133213
['Indie'],2013,14634
"['Action', 'RPG', 'Strategy']",2013,225166
"['Action', 'Adventure', 'Casual', 'Indie']",2013,50629
"['Indie', 'RPG']",2012,28327
"['Action', 'Adventure', 'Casual']",2013,80716
['Strategy'],2013,246734
"['Indie', 'Strategy']",2013,129112
"['Action', 'Indie']",2013,166382
['Action'],2013,155830
['Strategy'],2013,62145
"['Casual', 'Strategy']",2013,65574
"['Action', 'Adventure', 'Casual']",1984,379
"['Action', 'Indie']",2015,27266
"['Adventure', 'Indie']",2013,49924
"['Action', 'Indie']",2014,4470
"['Action', 'Free to Play']",2015,873732
"['Casual', 'Indie', 'Simulation', 'Strategy']",2013,3360905
"['Action', 'Strategy']",2013,88559
"['Action', 'Adventure', 'Indie']",2013,758937
"['Adventure', 'Indie']",2013,19261
"['Adventure', 'Casual']",2013,21125
"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']",2013,2387
['Simulation'],2008,1678
"['Casual', 'Indie', 'Strategy']",2013,38247
"['Adventure', 'Casual', 'Indie']",2013,15551
"['Adventure', 'Indie']",2013,22376
"['Action', 'Adventure', 'Casual', 'Indie']",2013,20714
['Adventure'],2013,2458
"['Action', 'Indie']",2012,24630
"['Action', 'Adventure', 'Indie']",2013,88820
"['Action', 'Adventure']",2013,24956
"['Action', 'Adventure']",2013,4392
"['Action', 'Adventure', 'Indie']",2013,16085
"['Action', 'Racing', 'Simulation', 'Sports']",2013,59907
['Action'],2013,109755
['Action'],2002,7404
"['Action', 'Adventure', 'Casual', 'Strategy']",2013,292012
['Action'],2013,22432
"['Action', 'Indie']",2012,11504
"['Casual', 'Simulation']",2013,1442230
['Simulation'],2001,26024
"['Free to Play', 'Indie', 'Simulation', 'Sports', 'Early Access']",2013,618556
"['Adventure', 'Indie']",2013,1323343
"['Casual', 'Indie']",2013,23469
['Adventure'],2013,1247189
"['Action', 'Indie', 'RPG']",2013,5429
"['Simulation', 'Strategy']",2013,99051
"['Adventure', 'Indie']",2013,6476
"['Casual', 'Indie', 'Simulation']",2013,70280
"['Casual', 'Indie']",2013,18646
"['Action', 'Indie']",2013,31339
['RPG'],2001,18273
"['Adventure', 'Indie']",2013,15120
"['Action', 'Indie']",2013,9670
['Adventure'],1996,28409
"['Action', 'Adventure', 'Indie']",2013,72038
"['Action', 'Adventure', 'RPG', 'Simulation', 'Strategy']",2013,35455
['Adventure'],2013,139
"['Adventure', 'Indie']",2013,60272
"['Adventure', 'Indie']",2013,15914
"['Action', 'RPG']",2013,2474168
"['Action', 'Adventure', 'Indie']",2013,1443337
"['Action', 'Indie']",2014,13198
"['Action', 'Adventure', 'Indie']",2013,133647
"['Action', 'Adventure', 'Indie']",2013,24680
"['Action', 'Adventure']",2013,731
"['Action', 'Adventure']",2008,9099
['Action'],2013,83241
"['Action', 'Adventure']",2013,69533
"['Action', 'RPG', 'Simulation']",2013,2978667
"['Casual', 'Indie']",1997,806
